"","ID","R2","P","f","int","slope"
"Salt Marsh","Salt Marsh",0.786168014196132,3.70279147201616e-101,1088.26437414044,-0.403302016878752,0.34718795410721
"Seagrass","Seagrass",0.704816378124592,1.722472870421e-263,2354.29372542957,0.0666299218713773,0.388327134295291
"Cymodocea nodosa","Cymodocea nodosa",0.659276116432499,5.65343776826357e-19,143.184657633018,0.106017300928902,0.118108819569588
"Halimione","Halimione",NA,NA,NA,NA,NA
"Juncus","Juncus",NA,NA,NA,NA,NA
"Juncus acutus","Juncus acutus",NA,NA,NA,NA,NA
"Mixed Salt Marsh","Mixed Salt Marsh",0.811352106649969,4.51282432074391e-31,348.371346594933,-0.690159876589923,0.378776775731748
"Posidonia oceanica","Posidonia oceanica",0.674822958990751,1.0455874361949e-160,1348.91111002979,0.24719930334231,0.376138841669426
"Salicornia","Salicornia",NA,NA,NA,NA,NA
"Sarcocornia","Sarcocornia",0.767473596562159,1.56598530248727e-15,145.225822743017,-0.0314678057531046,0.266538159426275
"Scirpus","Scirpus",NA,NA,NA,NA,NA
"Spartina maritima","Spartina maritima",0.861737242069073,8.8234431058441e-48,666.888801302915,-0.0388659098155097,0.29418218179877
"Unvegetated","Unvegetated",0.655488935151495,1.04383789793887e-07,51.3719385380929,0.315186732367803,0.177822172730337
"Unvegetated Salt Marsh","Unvegetated Salt Marsh",0.596770464368802,0.0001059863023543,25.159610092522,-0.327354103548385,0.243823541412434
"Zostera marina","Zostera marina",0.556936058341503,7.66882912762462e-19,121.930025397475,-0.0201834110631926,0.290555188385853
"Zostera noltii","Zostera noltii",0.546370447125636,4.33870119510366e-29,191.506264401244,0.00843848270126947,0.35078553794555
"AG.D","AG.D",0.792936280734699,6.38209455259593e-08,72.7591940655531,-0.367697104963643,0.684636624489225
"AG.I","AG.I",0.798557960912412,3.10740968219988e-06,55.4988993529436,-0.449000365694873,0.635489429293278
"AG.S","AG.S",0.973976604685259,4.57852500842232e-10,411.6965723327,-0.29919592751214,0.785505525483562
"AL.S","AL.S",0.991650948478413,1.8244244367601e-07,712.64450524551,0.126907751650345,0.424146186459007
"Arinaga","Arinaga",NA,NA,NA,NA,NA
"Av22_Sc","Av22_Sc",NA,NA,NA,NA,NA
"Av22_Sp","Av22_Sp",NA,NA,NA,NA,NA
"Av22_Zn","Av22_Zn",NA,NA,NA,NA,NA
"Av22_Zn_I","Av22_Zn_I",NA,NA,NA,NA,NA
"Av22_Zn_M","Av22_Zn_M",NA,NA,NA,NA,NA
"BA.S","BA.S",0.591536477083421,6.84114514308694e-07,40.54957279923,-0.0076080866091718,0.204091241200948
"BA.SC","BA.SC",NA,NA,NA,NA,NA
"BS1A","BS1A",NA,NA,NA,NA,NA
"BS1B","BS1B",NA,NA,NA,NA,NA
"BS2A","BS2A",NA,NA,NA,NA,NA
"BS2B","BS2B",NA,NA,NA,NA,NA
"BS2C","BS2C",NA,NA,NA,NA,NA
"BS3A","BS3A",NA,NA,NA,NA,NA
"BS3C","BS3C",NA,NA,NA,NA,NA
"BS4_EXP","BS4_EXP",NA,NA,NA,NA,NA
"BS4EXP","BS4EXP",NA,NA,NA,NA,NA
"CA.S","CA.S",0.946812810907054,4.88184487021723e-07,160.213680088869,-0.658196981409843,0.660367621280819
"CA.SC","CA.SC",0.863311432897219,3.54335219518414e-05,56.8431073700012,-0.697156926292348,0.740842666886645
"Cala DOr","Cala DOr",NA,NA,NA,NA,NA
"Cala Dor_s","Cala Dor_s",0.56931650748296,0.0305036778210847,7.93134425685613,-0.50167910960439,0.255227733453716
"Castell","Castell",0.949163069886063,8.79699256466031e-06,130.695175226187,-0.578275386304197,0.392674283019704
"Castillo del Romeral","Castillo del Romeral",NA,NA,NA,NA,NA
"DE.I","DE.I",0.808017915782963,3.57697834125064e-23,252.529162524194,0.0655721112980721,0.473384724549313
"El Pajar","El Pajar",NA,NA,NA,NA,NA
"Encanyissada","Encanyissada",NA,NA,NA,NA,NA
"EP05","EP05",0.904314176736479,3.67182025682501e-28,491.445185780456,1.36914247763383,0.459677915528666
"ERMS T. ","ERMS T. ",NA,NA,NA,NA,NA
"Es Burri","Es Burri",NA,NA,NA,NA,NA
"Es Pujols","Es Pujols",0.992657105131113,1.57285775116754e-06,675.930353665565,-1.15226209600501,0.360207165012213
"EST","EST",NA,NA,NA,NA,NA
"Fangar","Fangar",NA,NA,NA,NA,NA
"Gando","Gando",NA,NA,NA,NA,NA
"GRAM_14","GRAM_14",NA,NA,NA,NA,NA
"GRAM_14_2","GRAM_14_2",NA,NA,NA,NA,NA
"GRAM_6.5","GRAM_6.5",NA,NA,NA,NA,NA
"GRAM_7","GRAM_7",NA,NA,NA,NA,NA
"GRAM_8","GRAM_8",NA,NA,NA,NA,NA
"GRAM_8.3","GRAM_8.3",NA,NA,NA,NA,NA
"LM","LM",NA,NA,NA,NA,NA
"Magalluf","Magalluf",NA,NA,NA,NA,NA
"Magaluf","Magaluf",0.965426736594189,6.97183279549889e-08,251.31676253296,-0.862896813978763,0.445874679825685
"ME.S","ME.S",0.957272720089594,4.46472131729006e-13,380.872273536886,-0.293289966092241,0.507938263999232
"MM1A","MM1A",NA,NA,NA,NA,NA
"MM1B","MM1B",NA,NA,NA,NA,NA
"MM2A","MM2A",NA,NA,NA,NA,NA
"MM3A","MM3A",NA,NA,NA,NA,NA
"MM3B","MM3B",NA,NA,NA,NA,NA
"MS1A","MS1A",NA,NA,NA,NA,NA
"MS2A","MS2A",NA,NA,NA,NA,NA
"MS2B","MS2B",NA,NA,NA,NA,NA
"MS2C","MS2C",NA,NA,NA,NA,NA
"MS3B","MS3B",NA,NA,NA,NA,NA
"Muerto Cabrera","Muerto Cabrera",0.904203236758812,0.000999365718688264,47.1938302592904,-0.450927801407195,0.254457557230222
"ODB.Z","ODB.Z",NA,NA,NA,NA,NA
"ODE.M","ODE.M",0.822174676075677,6.08518619896058e-09,92.4699202488806,-0.338350971308499,0.303073547641355
"ODH","ODH",0.799637861026961,3.88946350425521e-09,87.8011835607342,0.0655784577022176,0.201168036297743
"ODL.R","ODL.R",0.950541487337176,3.51434127474273e-07,172.97069655847,-0.217569928569084,0.354516990384362
"ODM.L","ODM.L",0.61097536213163,2.85925801849144e-05,29.8400943038185,0.414531725176807,0.183978162491763
"ODM.LC","ODM.LC",NA,NA,NA,NA,NA
"ODN.DC","ODN.DC",0.914560196166222,0.0108842007173086,32.1124401670731,0.0509031536210059,0.162757856766838
"ODN.DV","ODN.DV",0.781049433985411,5.62176215726718e-06,49.9413738673192,-0.33001971317733,0.314788003873617
"Oka_01","Oka_01",NA,NA,NA,NA,NA
"Oka_02","Oka_02",NA,NA,NA,NA,NA
"OY_A1M","OY_A1M",NA,NA,NA,NA,NA
"OY_A2M","OY_A2M",0.863754737454439,3.49121443808601e-05,57.0573427056987,-0.57088669683635,0.375088114253823
"OY_NM","OY_NM",0.964774252959505,2.43048265400099e-09,301.271588941879,-0.64074628914428,0.44123091235937
"OY_NP","OY_NP",NA,NA,NA,NA,NA
"OY_RM","OY_RM",NA,NA,NA,NA,NA
"PA.I","PA.I",0.514027704142141,0.0297204691364001,7.40411327901584,-0.0781945086762688,0.296293796805775
"PA.IV","PA.IV",0.633071955204353,0.00591209349317287,13.8026398185383,-0.0422592635857704,0.273215469891843
"Playa del Cabron","Playa del Cabron",NA,NA,NA,NA,NA
"PLL22_CB_C","PLL22_CB_C",NA,NA,NA,NA,NA
"PLL22_CC_PD","PLL22_CC_PD",NA,NA,NA,NA,NA
"PLL22_CC_PS","PLL22_CC_PS",NA,NA,NA,NA,NA
"PLL22_CJ","PLL22_CJ",NA,NA,NA,NA,NA
"PLL22_CJ_Z","PLL22_CJ_Z",NA,NA,NA,NA,NA
"PLL22_PP","PLL22_PP",NA,NA,NA,NA,NA
"PLL22_PZ","PLL22_PZ",NA,NA,NA,NA,NA
"Pollenca","Pollenca",0.504931406365011,0.021266726387053,8.15937690828022,-3.18269824957588,0.422242738351751
"Portocolom","Portocolom",NA,NA,NA,NA,NA
"RF-FR1","RF-FR1",NA,NA,NA,NA,NA
"RF-FR3","RF-FR3",NA,NA,NA,NA,NA
"RF-FR5","RF-FR5",NA,NA,NA,NA,NA
"RF-FR6","RF-FR6",NA,NA,NA,NA,NA
"RF-SM1","RF-SM1",0.924425603499815,5.77737131312239e-11,207.943906762898,-0.0788900418233172,0.337441921031412
"RF-SM2","RF-SM2",0.965125586862901,1.33477395593078e-11,387.440447039583,-0.0352629728873611,0.358200492560088
"RF-SM3","RF-SM3",0.945739299225895,1.5125905622633e-11,278.872712142263,-0.0479363291033934,0.31090185039141
"RF-SM4","RF-SM4",0.791073240196123,4.02763501553696e-06,53.0091280463165,0.535205605927655,0.233945598117074
"RF-ZN1","RF-ZN1",0.763598745207721,9.7088611905711e-06,45.2213438642765,0.141582138594,0.18675968971867
"RF-ZN2","RF-ZN2",0.846057211410097,1.75231766532017e-07,82.4387961748529,-0.140160608094284,0.304750123003067
"RF-ZN3","RF-ZN3",0.835367719009731,2.91522783735212e-07,76.1121434373289,-0.256477626291899,0.318074882234032
"RF-ZN4","RF-ZN4",0.864304995816818,6.73944706110186e-08,95.5420209851697,0.0129681664589767,0.290195518296199
"ria_de_vigo_a_ramallosa","ria_de_vigo_a_ramallosa",0.809378137229659,8.69098831090318e-14,144.363591174024,-0.23063008726441,0.763960590222568
"Risco Verde","Risco Verde",NA,NA,NA,NA,NA
"RO.CN","RO.CN",NA,NA,NA,NA,NA
"RO.E","RO.E",0.696353694948441,0.0026756144399489,18.3464427753916,0.0889363677468915,0.396337810322844
"RO.I","RO.I",0.995738647174548,3.381316129648e-19,3505.00893012389,0.334881481252265,0.348200296564083
"RO.IB","RO.IB",0.570408793391036,0.0302526988820131,7.96676632969703,-1.27425092314353,1.02162212080741
"RO.IR","RO.IR",0.750549171471587,7.87922778819944e-07,54.1585095795733,-0.167356392449651,0.673755662396223
"RO.IS","RO.IS",NA,NA,NA,NA,NA
"RO.S","RO.S",0.926336148288438,3.01978652296021e-16,326.954663595459,0.361239114587362,0.536858410162037
"RO.SC","RO.SC",0.593183435099628,0.00338173016767926,14.581103285332,0.264426204312335,0.571093074818313
"S.ZM","S.ZM",NA,NA,NA,NA,NA
"S.ZN","S.ZN",NA,NA,NA,NA,NA
"SA.CN","SA.CN",0.732411122878665,0.00670741249679976,16.4224566601823,0.203856551768247,0.0975930741609797
"SA.ZN.C","SA.ZN.C",0.798051249580515,4.24579113649836e-09,86.9385299701133,-0.133734692383551,0.308339039692971
"SA.ZN.D","SA.ZN.D",0.91714147222816,3.54935438905543e-11,199.237748292667,-0.0387765651986493,0.263186585144856
"SA.ZN.S","SA.ZN.S",0.892438844691482,1.18927912792953e-05,74.6733295973371,-0.339047137068597,0.346263933474881
"Santa Maria","Santa Maria",0.778913689624323,0.000720565864639036,28.1849631775308,-0.38609643134751,0.268706616619892
"Santa Maria 13 m","Santa Maria 13 m",NA,NA,NA,NA,NA
"Santa Maria_CM","Santa Maria_CM",NA,NA,NA,NA,NA
"Santa Ponca","Santa Ponca",0.975400696490583,4.69532812823409e-06,237.909344738277,-0.978319616294673,0.350864611639151
"Ses Illetes","Ses Illetes",NA,NA,NA,NA,NA
"SM05","SM05",0.824276128770554,3.06784453106441e-13,145.413140588752,0.633834114737235,0.378383220603816
"SM10","SM10",0.853542168175947,8.18002570212055e-29,378.813753013139,-0.359765715466441,0.312150843504866
"SM15","SM15",0.771649134429527,1.49616500497943e-21,209.511999068231,0.417752226248784,0.259677594514299
"SM25","SM25",NA,NA,NA,NA,NA
"SN_Cymo","SN_Cymo",NA,NA,NA,NA,NA
"SN_Posi","SN_Posi",NA,NA,NA,NA,NA
"Soller","Soller",0.740116099125046,0.00291887752897413,19.9351043925115,-0.808038054109516,0.312503502222721
"Soller ","Soller ",NA,NA,NA,NA,NA
"SS_1_22","SS_1_22",0.69478944038639,6.04111830881238e-05,31.8699725780251,-0.123875589798101,0.472765208869355
"SS_2_22","SS_2_22",NA,NA,NA,NA,NA
"SS_3_22","SS_3_22",NA,NA,NA,NA,NA
"SS_4_22","SS_4_22",NA,NA,NA,NA,NA
"Sta. Ponca","Sta. Ponca",NA,NA,NA,NA,NA
"TC","TC",NA,NA,NA,NA,NA
"TE.D","TE.D",NA,NA,NA,NA,NA
"TE.I","TE.I",NA,NA,NA,NA,NA
"TE.S","TE.S",0.883459117209534,2.87165220747341e-11,159.19427601005,-0.0918826352391568,0.528786967054001
"TOR.H","TOR.H",NA,NA,NA,NA,NA
"TOR.L","TOR.L",0.774299016210823,0.0039460092627699,20.583845135582,-0.596699550122026,0.313835456774656
"TOR.LC","TOR.LC",0.596770464368802,0.0001059863023543,25.159610092522,-0.327354103548385,0.243823541412434
"TOR.M","TOR.M",NA,NA,NA,NA,NA
"TP","TP",NA,NA,NA,NA,NA
