Site ID;Sample ID;Ecosystem;Specie;Tissue;TOC
Life;L.Posi;Seagrass;Posidonia oceanica;Leaves;40
Life;L.Cymo;Seagrass;Cymodocea nodosa;Leaves;36.3
Life;L.Noltii;Seagrass;Zostera noltii;Leaves;38.7
Life;L.SM.Abv;Salt Marsh;Mixed Salt Marsh;Aboveground;45
S.ZN;Leaves-A;Seagrass;Zostera noltii;Leaves;35.3336727
S.ZN;Leaves-B;Seagrass;Zostera noltii;Leaves;36.2381413
S.ZN;Leaves-C;Seagrass;Zostera noltii;Leaves;37.5874288
S.ZN;Roots-A;Seagrass;Zostera noltii;Roots;18.4489844
S.ZN;Roots-B;Seagrass;Zostera noltii;Roots;23.3935904
S.ZN;Roots-C;Seagrass;Zostera noltii;Roots;11.0267862
S.ZN;Steam-A;Seagrass;Zostera noltii;Rhizomes;27.3782473
S.ZN;Steam-B;Seagrass;Zostera noltii;Rhizomes;29.7742439
S.ZN;Steam-C;Seagrass;Zostera noltii;Rhizomes;22.0331407
S.ZM;Leaves-A;Seagrass;Zostera marina;Leaves;40.859663
S.ZM;Leaves-B;Seagrass;Zostera marina;Leaves;38.8167353
S.ZM;Leaves-C;Seagrass;Zostera marina;Leaves;34.8291499
S.ZM;Roots-A;Seagrass;Zostera marina;Roots;39.0568003
S.ZM;Roots-B;Seagrass;Zostera marina;Roots;31.042624
S.ZM;Roots-C;Seagrass;Zostera marina;Roots;20.2107487
S.ZM;Steam-A;Seagrass;Zostera marina;Rhizomes;36.216933
S.ZM;Steam-B;Seagrass;Zostera marina;Rhizomes;32.9147043
S.ZM;Steam-C;Seagrass;Zostera marina;Rhizomes;24.9847827
Arinaga;;Seagrass;Cymodocea nodosa;Aboveground;42.52
Castillo del Romeral;;Seagrass;Cymodocea nodosa;Aboveground;42.47
Gando;;Seagrass;Cymodocea nodosa;Aboveground;41.85
Gando;;Seagrass;Cymodocea nodosa;Aboveground;40.28
P. del Ingl‚s;;Seagrass;Cymodocea nodosa;Aboveground;37.95
P. del Ingl‚s;;Seagrass;Cymodocea nodosa;Belowground;35.96
Caballo;;Seagrass;Cymodocea nodosa;Aboveground;41.28
Burrero;;Seagrass;Cymodocea nodosa;Aboveground;41.65
Pedre¤a;BA;Seagrass;Zostera noltii;Aboveground;36.8
Pedre¤a;BA;Seagrass;Zostera noltii;Aboveground;39.16
Pedre¤a;BA;Seagrass;Zostera noltii;Aboveground;40.86
Pontejos;Bs_v;Seagrass;Zostera noltii;Belowground;23.18
Pontejos;BA_Zn;Seagrass;Zostera noltii;Aboveground;36.47
San Bartolom‚ ;BS_v;Seagrass;Zostera noltii;Belowground;30.95
San Bartolom‚ ;BS_V;Seagrass;Zostera noltii;Belowground;33.52
San Bartolom‚ ;BA;Seagrass;Zostera noltii;Aboveground;36.82
San Bartolom‚ ;BA;Seagrass;Zostera noltii;Aboveground;38.67
Somo;Bs_v;Seagrass;Zostera noltii;Belowground;33.46
Somo;Bs_v;Seagrass;Zostera noltii;Belowground;33.66
Somo;Bs_v;Seagrass;Zostera noltii;Belowground;35.45
Somo;Ba;Seagrass;Zostera noltii;Aboveground;39.58
Somo;Ba;Seagrass;Zostera noltii;Aboveground;39.6
Somo;Ba;Seagrass;Zostera noltii;Aboveground;40.87
a_ramallosa_ria_de_vigo;A31;Seagrass;Zostera noltii;Aboveground;40.9892386
a_ramallosa_ria_de_vigo;A32;Seagrass;Zostera noltii;Aboveground;40.3161732
a_ramallosa_ria_de_vigo;A33;Seagrass;Zostera noltii;Aboveground;35.5148875
a_ramallosa_ria_de_vigo;B31;Seagrass;Zostera noltii;Aboveground;39.0134212
a_ramallosa_ria_de_vigo;B32;Seagrass;Zostera noltii;Aboveground;40.9222391
a_ramallosa_ria_de_vigo;B33;Seagrass;Zostera noltii;Aboveground;41.6403527
a_ramallosa_ria_de_vigo;C31;Seagrass;Zostera noltii;Aboveground;38.0297927
a_ramallosa_ria_de_vigo;C32;Seagrass;Zostera noltii;Aboveground;40.8899287
a_ramallosa_ria_de_vigo;C33;Seagrass;Zostera noltii;Aboveground;41.3330053
a_ramallosa_ria_de_vigo;FZ41;Seagrass;Zostera noltii;Aboveground;43.5634954
a_ramallosa_ria_de_vigo;FZ42;Seagrass;Zostera noltii;Aboveground;42.4919444
a_ramallosa_ria_de_vigo;FZ43;Seagrass;Zostera noltii;Aboveground;43.2471655
a_ramallosa_ria_de_vigo;FZ71;Seagrass;Zostera noltii;Aboveground;44.0180611
a_ramallosa_ria_de_vigo;FZ72;Seagrass;Zostera noltii;Aboveground;42.9466142
a_ramallosa_ria_de_vigo;FZ73;Seagrass;Zostera noltii;Aboveground;43.7961624
a_ramallosa_ria_de_vigo;MZ41;Seagrass;Zostera noltii;Aboveground;42.5961771
a_ramallosa_ria_de_vigo;MZ42;Seagrass;Zostera noltii;Aboveground;40.9355906
a_ramallosa_ria_de_vigo;MZ43;Seagrass;Zostera noltii;Aboveground;42.1507233
a_ramallosa_ria_de_vigo;MZ71;Seagrass;Zostera noltii;Aboveground;44.2870699
a_ramallosa_ria_de_vigo;MZ72;Seagrass;Zostera noltii;Aboveground;43.2341061
a_ramallosa_ria_de_vigo;MZ73;Seagrass;Zostera noltii;Aboveground;43.594118
a_ramallosa_ria_de_vigo;AZ41;Seagrass;Zostera noltii;Aboveground;40.6023144
a_ramallosa_ria_de_vigo;AZ42;Seagrass;Zostera noltii;Aboveground;41.9342954
a_ramallosa_ria_de_vigo;AZ43;Seagrass;Zostera noltii;Aboveground;41.6314768
a_ramallosa_ria_de_vigo;AZ71;Seagrass;Zostera noltii;Aboveground;42.6607528
a_ramallosa_ria_de_vigo;AZ72;Seagrass;Zostera noltii;Aboveground;43.1406308
a_ramallosa_ria_de_vigo;AZ73;Seagrass;Zostera noltii;Aboveground;42.8100251
a_ramallosa_ria_de_vigo;MYZ41;Seagrass;Zostera noltii;Aboveground;39.3172448
a_ramallosa_ria_de_vigo;MYZ42;Seagrass;Zostera noltii;Aboveground;39.9922491
a_ramallosa_ria_de_vigo;MYZ43;Seagrass;Zostera noltii;Aboveground;39.0710165
a_ramallosa_ria_de_vigo;MYZ71;Seagrass;Zostera noltii;Aboveground;40.1872419
a_ramallosa_ria_de_vigo;MYZ72;Seagrass;Zostera noltii;Aboveground;42.2665366
a_ramallosa_ria_de_vigo;MYZ73;Seagrass;Zostera noltii;Aboveground;42.0026971
a_ramallosa_ria_de_vigo;JZ41;Seagrass;Zostera noltii;Aboveground;41.24144365
a_ramallosa_ria_de_vigo;JZ42;Seagrass;Zostera noltii;Aboveground;40.30751259
a_ramallosa_ria_de_vigo;JZ43;Seagrass;Zostera noltii;Aboveground;41.2031344
a_ramallosa_ria_de_vigo;JZ71;Seagrass;Zostera noltii;Aboveground;41.24213013
a_ramallosa_ria_de_vigo;JZ72;Seagrass;Zostera noltii;Aboveground;41.82181031
a_ramallosa_ria_de_vigo;JZ73;Seagrass;Zostera noltii;Aboveground;41.53407104
a_ramallosa_ria_de_vigo;JLZ41;Seagrass;Zostera noltii;Aboveground;41.4590496
a_ramallosa_ria_de_vigo;JLZ42;Seagrass;Zostera noltii;Aboveground;40.9882083
a_ramallosa_ria_de_vigo;JLZ43;Seagrass;Zostera noltii;Aboveground;41.4203165
a_ramallosa_ria_de_vigo;JLZ71;Seagrass;Zostera noltii;Aboveground;40.9928525
a_ramallosa_ria_de_vigo;JLZ72;Seagrass;Zostera noltii;Aboveground;40.5097144
a_ramallosa_ria_de_vigo;JLZ73;Seagrass;Zostera noltii;Aboveground;40.016737
a_ramallosa_ria_de_vigo;AGZ41;Seagrass;Zostera noltii;Aboveground;41.4651812
a_ramallosa_ria_de_vigo;AGZ42;Seagrass;Zostera noltii;Aboveground;40.9839531
a_ramallosa_ria_de_vigo;AGZ43;Seagrass;Zostera noltii;Aboveground;41.697421
a_ramallosa_ria_de_vigo;AGZ71;Seagrass;Zostera noltii;Aboveground;40.9440593
a_ramallosa_ria_de_vigo;AGZ72;Seagrass;Zostera noltii;Aboveground;41.1852368
a_ramallosa_ria_de_vigo;AGZ73;Seagrass;Zostera noltii;Aboveground;41.1313184
a_ramallosa_ria_de_vigo;SZ41;Seagrass;Zostera noltii;Aboveground;43.1314209
a_ramallosa_ria_de_vigo;SZ42;Seagrass;Zostera noltii;Aboveground;42.7895407
a_ramallosa_ria_de_vigo;SZ43;Seagrass;Zostera noltii;Aboveground;43.7419968
a_ramallosa_ria_de_vigo;SZ71;Seagrass;Zostera noltii;Aboveground;43.7354667
a_ramallosa_ria_de_vigo;SZ72;Seagrass;Zostera noltii;Aboveground;42.7796304
a_ramallosa_ria_de_vigo;SZ73;Seagrass;Zostera noltii;Aboveground;43.4880157
a_ramallosa_ria_de_vigo;OZ41;Seagrass;Zostera noltii;Aboveground;42.1299812
a_ramallosa_ria_de_vigo;OZ42;Seagrass;Zostera noltii;Aboveground;42.3224214
a_ramallosa_ria_de_vigo;OZ43;Seagrass;Zostera noltii;Aboveground;41.9503035
a_ramallosa_ria_de_vigo;OZ71;Seagrass;Zostera noltii;Aboveground;42.9580677
a_ramallosa_ria_de_vigo;OZ72;Seagrass;Zostera noltii;Aboveground;43.2473124
a_ramallosa_ria_de_vigo;OZ73;Seagrass;Zostera noltii;Aboveground;41.7127642
a_ramallosa_ria_de_vigo;NZ 41;Seagrass;Zostera noltii;Aboveground;41.5877178
a_ramallosa_ria_de_vigo;NZ 42;Seagrass;Zostera noltii;Aboveground;40.9886368
a_ramallosa_ria_de_vigo;NZ 43;Seagrass;Zostera noltii;Aboveground;40.4564951
a_ramallosa_ria_de_vigo;NZ 71;Seagrass;Zostera noltii;Aboveground;40.9897308
a_ramallosa_ria_de_vigo;NZ 72;Seagrass;Zostera noltii;Aboveground;16.3499079
a_ramallosa_ria_de_vigo;NZ 73;Seagrass;Zostera noltii;Aboveground;42.165223
a_ramallosa_ria_de_vigo;DZ 41;Seagrass;Zostera noltii;Aboveground;42.6683509
a_ramallosa_ria_de_vigo;DZ 42;Seagrass;Zostera noltii;Aboveground;42.2884614
a_ramallosa_ria_de_vigo;DZ 43;Seagrass;Zostera noltii;Aboveground;42.7115088
a_ramallosa_ria_de_vigo;DZ 71;Seagrass;Zostera noltii;Aboveground;43.4677441
a_ramallosa_ria_de_vigo;DZ 72;Seagrass;Zostera noltii;Aboveground;43.6041704
a_ramallosa_ria_de_vigo;DZ 73;Seagrass;Zostera noltii;Aboveground;42.6395296
a_ramallosa_ria_de_vigo;ENZ41;Seagrass;Zostera noltii;Aboveground;42.6971053
a_ramallosa_ria_de_vigo;ENZ42;Seagrass;Zostera noltii;Aboveground;43.3626368
a_ramallosa_ria_de_vigo;ENZ43;Seagrass;Zostera noltii;Aboveground;43.537772
a_ramallosa_ria_de_vigo;ENZ71;Seagrass;Zostera noltii;Aboveground;42.8869875
a_ramallosa_ria_de_vigo;ENZ72;Seagrass;Zostera noltii;Aboveground;42.9710283
a_ramallosa_ria_de_vigo;ENZ73;Seagrass;Zostera noltii;Aboveground;41.9203847
carnota_caldebarcos;CZ1;Seagrass;Zostera noltii;Aboveground;38.8494993
carnota_caldebarcos;CZ2;Seagrass;Zostera noltii;Aboveground;37.7246282
carnota_caldebarcos;CZ3;Seagrass;Zostera noltii;Aboveground;36.697224
carnota_caldebarcos;CZ4;Seagrass;Zostera noltii;Aboveground;37.0606812
ria_de_pontevedra_lourizan;LZ11;Seagrass;Zostera noltii;Aboveground;41.4780197
ria_de_pontevedra_lourizan;LZ12;Seagrass;Zostera noltii;Aboveground;39.9226517
ria_de_pontevedra_lourizan;LZ13;Seagrass;Zostera noltii;Aboveground;41.3373638
ria_de_pontevedra_lourizan;LZ21;Seagrass;Zostera noltii;Aboveground;40.2386232
ria_de_pontevedra_lourizan;LZ22;Seagrass;Zostera noltii;Aboveground;41.0672266
ria_de_pontevedra_lourizan;LZ23;Seagrass;Zostera noltii;Aboveground;40.3693053
ria_de_pontevedra_lourizan;LZ31;Seagrass;Zostera noltii;Aboveground;41.9485001
ria_de_pontevedra_lourizan;LZ32;Seagrass;Zostera noltii;Aboveground;41.6258467
ria_de_pontevedra_lourizan;LZ33;Seagrass;Zostera noltii;Aboveground;41.6995354
ria_de_pontevedra_lourizan;LZ41;Seagrass;Zostera noltii;Aboveground;41.436891
ria_de_pontevedra_lourizan;LZ42;Seagrass;Zostera noltii;Aboveground;41.6402525
ria_de_pontevedra_lourizan;LZ43;Seagrass;Zostera noltii;Aboveground;41.2266012
ria_de_pontevedra_lourizan;LZ51;Seagrass;Zostera noltii;Aboveground;43.3659852
ria_de_pontevedra_lourizan;LZ52;Seagrass;Zostera noltii;Aboveground;41.9553708
ria_de_pontevedra_lourizan;LZ53;Seagrass;Zostera noltii;Aboveground;40.8927935
neda;NEZ 11;Seagrass;Zostera noltii;Aboveground;41.132062
neda;NEZ 12;Seagrass;Zostera noltii;Aboveground;42.059686
neda;NEZ 13;Seagrass;Zostera noltii;Aboveground;37.6747449
neda;NEZ 21;Seagrass;Zostera noltii;Aboveground;40.2818392
neda;NEZ 22;Seagrass;Zostera noltii;Aboveground;41.7547434
neda;NEZ 23;Seagrass;Zostera noltii;Aboveground;33.6408404
cabanas;CAZ 11;Seagrass;Zostera noltii;Aboveground;39.3145884
cabanas;CAZ 12;Seagrass;Zostera noltii;Aboveground;38.4813125
cabanas;CAZ 13;Seagrass;Zostera noltii;Aboveground;39.1997244
cabanas;CAZ 21;Seagrass;Zostera noltii;Aboveground;38.7168972
cabanas;CAZ 22;Seagrass;Zostera noltii;Aboveground;38.9629197
bergondo;BZ 11;Seagrass;Zostera noltii;Aboveground;35.4575464
bergondo;BZ 12;Seagrass;Zostera noltii;Aboveground;37.6605882
bergondo;BZ 13;Seagrass;Zostera noltii;Aboveground;38.1907347
bergondo;BZ 21;Seagrass;Zostera noltii;Aboveground;36.7915848
bergondo;BZ 22;Seagrass;Zostera noltii;Aboveground;38.1374768
bergondo;BZ 23;Seagrass;Zostera noltii;Aboveground;37.7879762
camari¤as;C¥Z 11;Seagrass;Zostera noltii;Aboveground;42.3562774
camari¤as;C¥Z 12;Seagrass;Zostera noltii;Aboveground;41.4989482
camari¤as;C¥Z 13;Seagrass;Zostera noltii;Aboveground;41.1593945
camari¤as;C¥Z 21;Seagrass;Zostera noltii;Aboveground;41.527326
camari¤as;C¥Z 22;Seagrass;Zostera noltii;Aboveground;41.8495568
camari¤as;C¥Z 23;Seagrass;Zostera noltii;Aboveground;41.6555192
rianxo;RXZ 11;Seagrass;Zostera noltii;Aboveground;41.6056605
rianxo;RXZ 12;Seagrass;Zostera noltii;Aboveground;40.4316819
rianxo;RXZ 13;Seagrass;Zostera noltii;Aboveground;40.4707904
rianxo;RXZ 21;Seagrass;Zostera noltii;Aboveground;40.2872283
rianxo;RXZ 22;Seagrass;Zostera noltii;Aboveground;40.3421517
rianxo;RXZ 23;Seagrass;Zostera noltii;Aboveground;40.8315268
o_grove;GZ11;Seagrass;Zostera noltii;Aboveground;39.7606769
o_grove;GZ12;Seagrass;Zostera noltii;Aboveground;40.1814972
o_grove;GZ13;Seagrass;Zostera noltii;Aboveground;41.392548
o_grove;GZ21;Seagrass;Zostera noltii;Aboveground;39.0305658
o_grove;GZ22;Seagrass;Zostera noltii;Aboveground;38.8870964
o_grove;GZ23;Seagrass;Zostera noltii;Aboveground;38.7967197
rio_maior;RIOZ 11;Seagrass;Zostera noltii;Aboveground;42.7968239
rio_maior;RIOZ 12;Seagrass;Zostera noltii;Aboveground;41.0351049
rio_maior;RIOZ 13;Seagrass;Zostera noltii;Aboveground;41.8843716
rio_maior;RIOZ 21;Seagrass;Zostera noltii;Aboveground;40.7893522
rio_maior;RIOZ 22;Seagrass;Zostera noltii;Aboveground;40.7300495
rio_maior;RIOZ 23;Seagrass;Zostera noltii;Aboveground;40.2463244
arcade;ARZ 11;Seagrass;Zostera noltii;Aboveground;40.7483573
arcade;ARZ 12;Seagrass;Zostera noltii;Aboveground;41.1880361
arcade;ARZ 13;Seagrass;Zostera noltii;Aboveground;40.9959885
arcade;ARZ 21;Seagrass;Zostera noltii;Aboveground;41.4601503
arcade;ARZ 22;Seagrass;Zostera noltii;Aboveground;40.5380103
arcade;ARZ 23;Seagrass;Zostera noltii;Aboveground;40.1121899
RF-031;Site 1;Seagrass;Zostera noltii;Leaves;43.62017804
RF-032;Site 2;Seagrass;Zostera noltii;Leaves;42.99703264
RF-033;Site 3;Seagrass;Zostera noltii;Leaves;43.35311573
RF-034;Site 4;Seagrass;Zostera noltii;Leaves;43.4421365
RF-031;Site 1;Seagrass;Zostera noltii;Leaves;45.13353116
RF-032;Site 2;Seagrass;Zostera noltii;Leaves;44.51038576
RF-033;Site 3;Seagrass;Zostera noltii;Leaves;44.95548961
RF-010;Culatra;Seagrass;Mixed Seagrass;Leaves;34.4
RF-040;25;Salt Marsh;Spartina maritima;Leaves;42.4187518
RF-040;26;Salt Marsh;Spartina maritima;Leaves;41.2204152
RF-040;27;Salt Marsh;Spartina maritima;Leaves;41.0808819
RF-041;31;Seagrass;Zostera noltii;Leaves;40.2434544
RF-041;32;Seagrass;Zostera noltii;Leaves;38.6120249
RF-041;33;Seagrass;Zostera noltii;Leaves;42.1004715
RF-042;Culatra (w);Seagrass;Zostera marina;Leaves;34.82291794
RF-042;Culatra (w);Seagrass;Zostera marina;Leaves;34.03870392
RF-042;Culatra (w);Seagrass;Zostera marina;Leaves;33.97163391
RF-042;Culatra (s);Seagrass;Zostera marina;Leaves;34.84933472
RF-042;Culatra (s);Seagrass;Zostera marina;Leaves;35.68482208
RF-042;Culatra (s);Seagrass;Zostera marina;Leaves;34.36952972
RF-037;Low intertidal;Seagrass;Zostera noltii;Leaves;44.8
RF-037;Low intertidal;Seagrass;Zostera noltii;Leaves;45.1
RF-037;Medium intertidal;Seagrass;Zostera noltii;Leaves;41.1
RF-037;Medium intertidal;Seagrass;Zostera noltii;Leaves;46.9
RF-037;High intertidal;Seagrass;Zostera noltii;Leaves;41.6
RF-037;High intertidal;Seagrass;Zostera noltii;Leaves;45.8
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;40.192
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;40.494
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;42.603
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;36.158
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;42.016
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;45.661
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;41.99
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;52.217
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;42.096
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;38.655
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;38.082
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;36.152
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;37.362
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;40.661
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;38.833
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;42.591
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;41.999
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;40.236
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;39.862
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;41.531
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;39.27
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;41.862
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;40.706
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;41.452
RF-043;Ramalhete-A;Seagrass;Zostera noltii;Leaves;36.98
